"";"chave";"ano";"sigla";"dsc_tribunal";"secao";"dpjio";"tram";"cp";"tbaix";"mag";"serv";"tc";"ips";"ipm";"dpjio_tbaix";"eff";"target.tbaix"
"1";"TRF1_DF_2012";2012;"TRF1";"TRF 1ª Região";"DF";169017345,03;300429;240398;101849;39;719;0,660988120321274;141,653685674548;2611,51282051282;1659,48948963662;0,707014346307346;144055,068375834
"2";"TRF1_GO_2012";2012;"TRF1";"TRF 1ª Região";"GO";133992205,95;244755;178829;82239;34;588;0,66399460685175;139,862244897959;2418,79411764706;1629,30247145515;0,709648009756166;115887,029723732
"3";"TRF1_MT_2012";2012;"TRF1";"TRF 1ª Região";"MT";72306641,31;113975;81809;40325;17;330;0,646194340864225;122,19696969697;2372,05882352941;1793,09711866088;0,696396805182317;57905,2053368379
"4";"TRF1_MG_2012";2012;"TRF1";"TRF 1ª Região";"MG";379654181,25;831785;637392;293625;112;1726;0,646994115065792;170,118771726535;2621,65178571429;1292,98997445722;0,807249835911196;363734,976382579
"5";"TRF1_AC_2012";2012;"TRF1";"TRF 1ª Região";"AC";28791407,2;36727;22565;14760;7;126;0,598115827592779;117,142857142857;2108,57142857143;1950,63734417344;0,714180189052252;20667,0532538674
"6";"TRF1_AM_2012";2012;"TRF1";"TRF 1ª Região";"AM";51644256,34;91029;65563;31813;12;256;0,650517966801788;124,26953125;2651,08333333333;1623,36957658819;0,725989657152974;43820,1835061359
"7";"TRF1_AP_2012";2012;"TRF1";"TRF 1ª Região";"AP";26994306,21;33873;27481;14645;8;134;0,567649750538777;109,291044776119;1830,625;1843,24385182656;0,7640556122657;19167,4529509342
"8";"TRF1_PA_2012";2012;"TRF1";"TRF 1ª Região";"PA";96635112,77;256593;177119;91685;18;447;0,642683159712073;205,111856823266;5093,61111111111;1053,99043213176;0,939085172992209;97632,2517241582
"9";"TRF1_RO_2012";2012;"TRF1";"TRF 1ª Região";"RO";42813733,65;84198;63070;27741;12;205;0,670526615834105;135,321951219512;2311,75;1543,3377906348;0,719389594817965;38561,8588311937
"10";"TRF1_RR_2012";2012;"TRF1";"TRF 1ª Região";"RR";22735122,64;29791;20477;14245;4;102;0,521835453660501;139,656862745098;3561,25;1596,00720533521;0,906190322809855;15719,6558398792
"11";"TRF1_TO_2012";2012;"TRF1";"TRF 1ª Região";"TO";39245251,11;51673;29125;18642;6;151;0,639231320031738;123,456953642384;3107;2105,2060460251;0,705155634197496;26436,7170819185
"12";"TRF1_BA_2012";2012;"TRF1";"TRF 1ª Região";"BA";233802069,64;439749;303720;179694;59;1039;0,59137144143591;172,948989412897;3045,66101694915;1301,11227776108;0,874619912504622;205453,81763081
"13";"TRF1_MA_2012";2012;"TRF1";"TRF 1ª Região";"MA";80054933,53;209215;133182;85351;16;373;0,592041679611883;228,823056300268;5334,4375;937,949567433305;1;85351
"14";"TRF1_PI_2012";2012;"TRF1";"TRF 1ª Região";"PI";62511644,49;182635;143930;36558;15;285;0,799830262545514;128,273684210526;2437,2;1709,93064418185;0,560580241713938;65214,5710455764
"15";"TRF1_2º Grau_2012";2012;"TRF1";"TRF 1ª Região";"2º Grau";370491275;531256;423830;107426;26;637;0,797788636740103;168,643642072214;4131,76923076923;3448,80452590621;0,748516348034847;143518,575488746
"16";"TRF1_total_2012";2012;"TRF1";"TRF 1ª Região";"total";1810689486;3711303;2570705;1140598;385;7639;0,692669124563529;149,312475454902;2962,59220779221;1587,49137382321;0,790366510372325;1443125,4171722
"17";"TRF2_RJ_2012";2012;"TRF2";"TRF 2ª Região";"RJ";635070203,362745;1087141;844114;302073;174;2866;0,722139998399472;105,398813677599;1736,05172413793;2102,37327852124;0,569295484573683;530608,459377132
"18";"TRF2_ES_2012";2012;"TRF2";"TRF 2ª Região";"ES";133653980,737255;210612;161614;53366;26;519;0,746614627846466;102,824662813102;2052,53846153846;2504,47814595913;0,512476659363946;104133,523010071
"19";"TRF2_2º Grau_2012";2012;"TRF2";"TRF 2ª Região";"2º Grau";256597482,72;154937;96057;58880;27;747;0,619974570309223;78,8219544846051;2180,74074074074;4357,97355163043;0,643114923809944;91554,3984754434
"20";"TRF2_total_2012";2012;"TRF2";"TRF 2ª Região";"total";1025321666,82;1485949;1071630;414319;227;4500;0,72117549121807;92,0708888888889;1825,19383259912;2474,71553759301;0,570454446582674;726296,380862647
"21";"TRF3_MS_2012";2012;"TRF3";"TRF 3ª Região";"MS";80184369,53;106446;80266;59111;18;315;0,444685568269357;187,653968253968;3283,94444444444;1356,50504187038;1;59111
"22";"TRF3_SP_2012";2012;"TRF3";"TRF 3ª Região";"SP";980428431,26;2493227;1968055;766258;266;4016;0,692664165757871;190,801294820717;2880,66917293233;1279,50172299669;0,833837716817934;918953,394101876
"23";"TRF3_2º Grau_2012";2012;"TRF3";"TRF 3ª Região";"2º Grau";427413653,12;536596;279791;256805;37;1243;0,521418348254553;206,600965406275;6940,67567567568;1664,35097883608;1;256805
